,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Rank,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Happiness Score,Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Economy (GDP per Capita),Family,Family,Family,Family,Family,Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Health (Life Expectancy),Freedom,Freedom,Freedom,Freedom,Freedom,Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Trust (Government Corruption),Generosity,Generosity,Generosity,Generosity,Generosity,year,year,year,year,year
Country,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std,mean,median,amin,amax,std
Puerto Rico,15,15,15,15,,7.04,7.04,7.04,7.04,,1.35943,1.35943,1.35943,1.35943,,1.08113,1.08113,1.08113,1.08113,,0.77758,0.77758,0.77758,0.77758,,0.46823,0.46823,0.46823,0.46823,,0.12275,0.12275,0.12275,0.12275,,0.22202,0.22202,0.22202,0.22202,,2016,2016,2016,2016,
Belgium,17.6,18,16,19,1.140175425,6.92,6.93,6.89,6.94,0.02,1.375398152,1.356,1.30782,1.463780761,0.066887098,1.35749254,1.462312698,1.05249,1.504,0.191304918,0.882870374,0.894,0.818091869,0.986,0.069192988,0.538762144,0.539770722,0.473,0.5845,0.047462545,0.237844626,0.24,0.21,0.26248,0.020760231,0.208880668,0.2225,0.16,0.2424,0.034081296,2017,2017,2015,2019,1.58113883
Ireland,16.4,16,14,19,2.073644135,6.96,6.98,6.91,7.02,0.04,1.460415328,1.48341,1.33596,1.535706639,0.076370123,1.445056223,1.553,1.16157,1.583,0.179975766,0.878932525,0.876,0.809782624,0.999,0.076844801,0.572192068,0.573110342,0.516,0.61777,0.044762785,0.299791631,0.298388153,0.28703,0.31,0.008841005,0.388299665,0.427858323,0.298,0.45901,0.07919898,2017,2017,2015,2019,1.58113883
Israel,13,11,11,19,3.464101615,7.14,7.21,6.81,7.28,0.19,1.303722485,1.301,1.22857,1.375382423,0.056370972,1.321917993,1.376289964,0.99537,1.559,0.219721556,0.9026888,0.883,0.838404,1.029,0.076589792,0.417499721,0.405988604,0.36432,0.533,0.06797371,0.12087442,0.0852421,0.07785,0.272,0.084556947,0.319936531,0.330082655,0.261,0.354,0.034943857,2017,2017,2015,2019,1.58113883
United States,15.8,15,13,19,2.588435821,7,6.99,6.89,7.12,0.11,1.455945857,1.433,1.39451,1.546259284,0.068045179,1.328570113,1.419920564,1.04782,1.471,0.180680512,0.821615326,0.819,0.774286628,0.874,0.045883194,0.506882105,0.505740523,0.454,0.547,0.040553284,0.140843758,0.135638788,0.128,0.1589,0.012659117,0.355079756,0.392578781,0.28,0.41077,0.063960981,2017,2017,2015,2019,1.58113883
Luxembourg,17.2,17,14,20,2.167948339,6.94,6.91,6.86,7.09,0.09,1.63767472,1.609,1.56391,1.741943598,0.078295436,1.343240733,1.457583666,1.03999,1.52,0.20614882,0.903489899,0.896,0.845089495,1.012,0.068651232,0.583831578,0.596627891,0.526,0.632,0.044962653,0.337420885,0.321,0.316,0.37798,0.027252646,0.245846196,0.27571,0.194,0.283180982,0.046497922,2017,2017,2015,2019,1.58113883
Oman,22,22,22,22,,6.85,6.85,6.85,6.85,,1.36011,1.36011,1.36011,1.36011,,1.08182,1.08182,1.08182,1.08182,,0.76276,0.76276,0.76276,0.76276,,0.63274,0.63274,0.63274,0.63274,,0.32524,0.32524,0.32524,0.32524,,0.21542,0.21542,0.21542,0.21542,,2015,2015,2015,2015,
United Kingdom,17.8,19,11,23,4.816637832,6.91,6.87,6.71,7.19,0.21,1.337566788,1.333,1.244,1.44163394,0.085049751,1.367932016,1.433,1.08672,1.538,0.184088944,0.881735188,0.888,0.805335939,0.996,0.078832735,0.503760007,0.50036,0.45,0.59625,0.057132698,0.244017613,0.27399,0.082,0.32067,0.093054889,0.424690832,0.492774159,0.262,0.51912,0.113810002,2017,2017,2015,2019,1.58113883
Mexico,21.4,23,14,25,4.393176527,6.73,6.6,6.49,7.19,0.28,1.079360764,1.07,1.02054,1.153183818,0.05473556,1.082994432,1.21086216,0.7146,1.323,0.258174927,0.7715698,0.761,0.709978998,0.861,0.065874042,0.436726002,0.433,0.37709,0.48181,0.044625669,0.139488823,0.132774115,0.073,0.21312,0.058753816,0.104416087,0.11735,0.069,0.14074,0.031388132,2017,2017,2015,2019,1.58113883
Germany,18,16,15,26,4.527692569,6.93,6.97,6.75,6.99,0.1,1.395342677,1.373,1.32792,1.487923384,0.06971035,1.35952607,1.454,1.09774,1.474,0.163514534,0.870736146,0.861,0.798950732,0.987,0.074720254,0.558588277,0.562511384,0.495,0.61477,0.046203925,0.265134388,0.276731938,0.21843,0.28551,0.027166032,0.291385834,0.28214,0.261,0.33626917,0.029723069,2017,2017,2015,2019,1.58113883
Chile,24.4,25,20,27,2.701851217,6.59,6.65,6.44,6.71,0.12,1.173326922,1.159,1.10715,1.25278461,0.06035512,1.202872991,1.284024954,0.90587,1.369,0.190366857,0.844975941,0.819479704,0.808,0.92,0.046136473,0.396821056,0.37789,0.357,0.44132,0.037045561,0.088497596,0.082287982,0.056,0.12869,0.032182469,0.272048484,0.31595,0.187,0.33363,0.073429946,2017,2017,2015,2019,1.58113883
United Arab Emirates,22,21,20,28,3.391164992,6.74,6.77,6.57,6.9,0.13,1.645226674,1.57352,1.42727,2.096,0.262882367,1.069860046,1.12575,0.776,1.31,0.237311106,0.752195647,0.72993,0.67,0.825,0.064133815,0.538813054,0.598,0.284,0.64157,0.145233535,0.311982391,0.340049782,0.182,0.38583,0.090201051,0.267826389,0.26428,0.186,0.360941947,0.062081119,2017,2017,2015,2019,1.58113883
