Country,Happy,Economy,Family,Health,Freedom,Generous,Trust ,Year
Belgium,6.928347588,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,2017
Belgium,6.89217186,10.6724453,0.929815531,72,0.808386624,-0.127278343,0.630411804,2018
Belgium,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,2019
Benin,3.624664307,7.594452858,0.434388518,53.09999847,0.733383596,-0.003976707,0.850098193,2015
Benin,4.007357597,7.605700016,0.492815852,53.5,0.779795229,-0.042874601,0.837715745,2016
Benin,4.853180885,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,2017
Benin,5.81982708,7.663907051,0.503544033,54.29999924,0.713264048,0.024661165,0.746510744,2018
Benin,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,2019
Bhutan,5.082128525,8.954587936,0.847574413,60.20000076,0.83010155,0.28663519,0.633955777,2015
Bolivia,5.834329128,8.784395218,0.828705788,62.70000076,0.88362509,-0.024297828,0.862373948,2015
Bolivia,5.769723415,8.811049461,0.795958757,63,0.881748736,-0.041593142,0.852592945,2016
Bolivia,5.65055275,8.837221146,0.778661788,63.29999924,0.883904934,-0.115274936,0.819261968,2017
Bolivia,5.915734291,8.860530853,0.827159464,63.59999847,0.863246858,-0.08756835,0.786044598,2018
Bolivia,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,2019
Bosnia and Herzegovina,5.117177963,9.299491882,0.655723631,66.90000153,0.630698025,-0.054061137,0.959853649,2015
Bosnia and Herzegovina,5.180865288,9.335877419,0.807705104,67.19999695,0.633453727,0.134780556,0.957311988,2016
Bosnia and Herzegovina,5.089902401,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,2017
Bosnia and Herzegovina,5.887401104,9.402726173,0.835889578,67.80000305,0.658846438,0.124626905,0.912857771,2018
Bosnia and Herzegovina,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,2019
Botswana,3.761964798,9.63931179,0.815656066,56.79999924,0.857168913,-0.121966846,0.860292971,2015
Botswana,3.498936653,9.663145065,0.768302798,57.5,0.851694882,-0.258511871,0.729171813,2016
Botswana,3.504881144,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,2017
Botswana,3.4613657,9.680226326,0.794936001,58.90000153,0.817621112,-0.259084016,0.806945443,2018
Botswana,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,2019
Brazil,6.546896935,9.595779419,0.906693101,65.80000305,0.798935294,-0.025475523,0.771339059,2015
Brazil,6.374817371,9.552306175,0.912455142,66,0.806571543,-0.10995803,0.781092763,2016
Brazil,6.332929134,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,2017
Brazil,6.190921783,9.557932854,0.881505251,66.40000153,0.75060904,-0.126326516,0.763251305,2018
Brazil,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,2019
Bulgaria,4.865401268,9.740979195,0.907517016,66.19999695,0.636817813,-0.201748475,0.941279948,2015
Bulgaria,4.837560654,9.786646843,0.92603606,66.40000153,0.700265527,-0.172343537,0.935988188,2016
Bulgaria,5.096901894,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,2017
Bulgaria,5.098813534,9.873218536,0.923853278,66.80000305,0.724335909,-0.179109603,0.952014446,2018
Bulgaria,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,2019
