,Country,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Workforce Ratio Five Year Average,Workforce Ratio Five Year Median,Workforce Ratio Five Year Max,Workforce Ratio Five Year Min,Workforce Ratio Five Year STD
18,Belarus,82.60262821,82.67163615,82.00529564,80.60187729,80.46098301,81.66848406,82.00529564,82.67163615,80.46098301,1.070991391
19,Belgium,81.19842662,81.01012131,81.02318996,82.53604436,82.80890752,81.71533795,81.19842662,82.80890752,81.01012131,0.882191885
20,Belize,60.48455165,62.13617533,61.2567138,61.58081508,61.91332989,61.47431715,61.58081508,62.13617533,60.48455165,0.645971595
21,Benin,93.26220906,93.47526237,93.74692439,94.06355672,94.2794857,93.76548765,93.74692439,94.2794857,93.26220906,0.41560312
23,Bhutan,80.23696688,80.42114769,80.40444929,80.22404909,80.14759734,80.28684206,80.23696688,80.42114769,80.14759734,0.12009272
24,Bolivia,68.30431088,72.46457892,74.68654828,78.62087257,78.46612261,74.50848665,74.68654828,78.62087257,68.30431088,4.338077399
25,Bosnia and Herzegovina,62.29572737,60.74434625,62.12833985,60.94505945,60.95952025,61.41459863,60.95952025,62.29572737,60.74434625,0.735291781
26,Botswana,83.61342003,83.9731884,84.39917368,84.93254234,85.01521206,84.3867073,84.39917368,85.01521206,83.61342003,0.604582628
27,Brazil,70.80484839,71.18428623,72.65480384,73.18084815,73.15322407,72.19560214,72.65480384,73.18084815,70.80484839,1.124229906
29,Brunei Darussalam,79.37272406,80.17476291,80.98286485,81.17487633,81.35805436,80.6126565,80.98286485,81.35805436,79.37272406,0.827337081
30,Bulgaria,80.86694773,80.1456799,80.32351455,79.47771699,79.43951899,80.05067563,80.1456799,80.86694773,79.43951899,0.602403741
31,Burkina Faso,77.31225802,77.50331772,77.72218552,77.97577628,77.92478746,77.687665,77.72218552,77.97577628,77.31225802,0.280776226
32,Burundi,103.7991606,103.606476,103.4702455,103.3932479,103.3603591,103.5258978,103.4702455,103.7991606,103.3603591,0.179764874
33,Cabo Verde,74.55877563,76.18292933,77.82904902,78.62965572,78.95967678,77.2320173,77.82904902,78.95967678,74.55877563,1.839935726
34,Cambodia,85.46562871,86.29148253,86.13215099,85.99905379,85.86040263,85.94974373,85.99905379,86.29148253,85.46562871,0.314180873
35,Cameroon,87.18423892,87.3415287,87.53763946,87.77556699,87.6794119,87.50367719,87.53763946,87.77556699,87.18423892,0.242019177
36,Canada,86.29511773,86.77436275,87.1694732,87.55096568,87.6321643,87.08441673,87.1694732,87.6321643,86.29511773,0.557686361
37,Caribbean small states,74.33877005,75.72065712,76.19098648,76.01456715,76.22056777,75.69710971,76.01456715,76.22056777,74.33877005,0.784911292
39,Central African Republic,79.68664867,80.0133738,80.40995465,80.86426684,80.77617536,80.35008386,80.40995465,80.86426684,79.68664867,0.500760055
40,Central Europe and the Baltics,75.27502525,75.13246068,75.25170959,75.21488209,75.2051556,75.21584664,75.21488209,75.27502525,75.13246068,0.054444251
41,Chad,81.62897612,81.82132881,82.07609512,82.4000823,82.45838351,82.07697317,82.07609512,82.45838351,81.62897612,0.359141171
42,Channel Islands,75.92311012,76.6412925,76.83983966,76.8495141,76.95983383,76.64271804,76.83983966,76.95983383,75.92311012,0.418336455
43,Chile,67.06077833,67.86965054,68.77931544,69.87084299,70.02095492,68.72030844,68.77931544,70.02095492,67.06077833,1.274416719
44,China,81.28064075,81.12692159,80.92009963,80.66455058,80.30793972,80.86003045,80.92009963,81.28064075,80.30793972,0.385606265
45,Colombia,71.2868177,71.27171623,71.29328587,70.75058447,70.8869975,71.09788035,71.27171623,71.29328587,70.75058447,0.259415476
46,Comoros,71.63840849,71.98572898,72.44944825,72.99686713,73.24550127,72.46319082,72.44944825,73.24550127,71.63840849,0.671796956
47,"Congo, Dem. Rep.",91.46503713,91.44530427,91.55026784,91.77901248,91.64063124,91.57605059,91.55026784,91.77901248,91.44530427,0.137338567
48,"Congo, Rep.",94.07864269,94.11069337,94.21585523,94.49957086,94.58792392,94.29853721,94.21585523,94.58792392,94.07864269,0.231643268
49,Costa Rica,64.05834832,60.61298155,60.75137465,62.80112824,63.1451226,62.27379107,62.80112824,64.05834832,60.61298155,1.524630096
50,Cote d'Ivoire,71.09078497,72.19706805,72.68523638,73.20044562,73.47726705,72.53016041,72.68523638,73.47726705,71.09078497,0.942482624
51,Croatia,78.66450198,78.09360515,77.76427294,78.78714397,79.05026582,78.47195797,78.66450198,79.05026582,77.76427294,0.527926211
52,Cuba,61.91881489,61.83504935,61.35076016,61.14020573,60.91628666,61.43222336,61.35076016,61.91881489,60.91628666,0.43506934
54,Cyprus,85.84288464,85.00753415,84.99160833,84.30475812,84.62089737,84.95353652,84.99160833,85.84288464,84.30475812,0.575948674
55,Czech Republic,75.34910809,75.87026171,76.42122587,77.01945529,77.22909766,76.37782972,76.42122587,77.22909766,75.34910809,0.783281109
56,Denmark,86.85731195,88.00202068,87.97595639,87.870523,87.87508166,87.71617874,87.87508166,88.00202068,86.85731195,0.483713369
57,Djibouti,72.49676741,72.71049434,73.11253782,73.61720684,73.71496572,73.13039443,73.11253782,73.71496572,72.49676741,0.537779709
59,Dominican Republic,63.58241551,64.58207753,65.02998854,66.15757907,66.41699739,65.15381161,65.02998854,66.41699739,63.58241551,1.163473801
