Country,Happy,Economy,Family,Health,Freedom,Trust,Generous
Hong Kong,5.448,1.434935,1.1238475,1.0295125,0.5102175,0.3164275,0.3249375
"Hong Kong S.A.R., China",5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.293933749,0.374465793
Hungary,5.329399976,1.204074387,1.257584618,0.736578691,0.230536704,0.030187387,0.089480332
Iceland,7.511000037,1.386522604,1.492812801,0.917744424,0.618034527,0.140145312,0.419124044
India,4.297800011,0.73071425,0.588116519,0.498925523,0.461539401,0.088473377,0.223713698
Indonesia,5.252000017,0.920969718,1.13115494,0.561203144,0.466160693,0.012907427,0.534852918
Iran,4.689199982,1.088450621,0.65151825,0.691140638,0.307818522,0.083418215,0.341096583
Iraq,4.528400043,1.043188097,0.86811064,0.544862094,0.216423107,0.113091151,0.174149453
Ireland,6.964400047,1.460415328,1.445056223,0.878932525,0.572192068,0.299791631,0.388299665
Israel,7.142199964,1.303722485,1.321917993,0.9026888,0.417499721,0.12087442,0.319936531
Italy,6.022400045,1.311831324,1.334672656,0.92872487,0.243816143,0.028119618,0.17257193
Ivory Coast,4.273199966,0.546691784,0.786338006,0.111450434,0.428399239,0.131516355,0.181253494
Jamaica,5.661999974,0.855857862,1.290791613,0.689424477,0.495939448,0.036039556,0.174313667
Japan,5.925800015,1.337745036,1.326999566,0.979099174,0.493477109,0.164842147,0.095572554
Jordan,5.179599993,0.909744479,1.129033779,0.673620012,0.40725223,0.131940654,0.133064092
Kazakhstan,5.838399953,1.190505254,1.297243803,0.63671631,0.444628857,0.106428577,0.152868885
Kenya,4.449399995,0.490571892,0.972022145,0.41216167,0.443134753,0.059578264,0.391512062
Kosovo,5.606199961,0.878282876,1.014490701,0.60975441,0.317747588,0.039870324,0.28379029
Kuwait,6.148600004,1.55566249,1.18464375,0.695143142,0.505997519,0.18218791,0.17184396
Kyrgyzstan,5.173400037,0.542388015,1.270745718,0.615165559,0.467966678,0.037475836,0.338840075
Laos,4.79275,0.68877,0.8379325,0.481,0.5726475,0.20118,0.3371775
Latvia,5.676199981,1.185349725,1.273916988,0.697091394,0.305875582,0.071212545,0.135356957
Lebanon,5.149599981,1.035061506,0.99489485,0.787252215,0.321791197,0.055388766,0.219984152
Lesotho,4.079000022,0.464367812,1.153781297,0.08078,0.372582825,0.11228366,0.136094318
Liberia,3.839199998,0.089260359,0.789065587,0.302715639,0.332934236,0.04255765,0.237959977
Libya,5.597000019,1.065826613,1.215988866,0.594601804,0.440226646,0.121246042,0.150978733
Lithuania,5.92979999,1.23320247,1.367415221,0.708193988,0.255588357,0.017675129,0.025164931
Luxembourg,6.935999983,1.63767472,1.343240733,0.903489899,0.583831578,0.337420885,0.245846196
