Country,Gini Index Five Year Average,Workforce Ratio Five Year Average,Happy,Economy,Family,Health,Freedom,Trust,Generous
Albania,33.26666667,72.23945177,4.882699966000001,9.417930603,0.671070457,68.70813751,0.7819942240000001,0.896303713,-0.042309489000000006
Argentina,41.53333333,67.99739646,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,0.8420098420000001,-0.194913864
Armenia,33.225,71.84435195,4.676799774,9.100476265,0.7574794290000001,66.75065613,0.7120178340000001,0.7735447879999999,-0.13877961
Austria,30.33333333,82.74996804,7.294199944,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.49995487899999996,0.085429221
Bangladesh,32.4,42.87666941,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,0.661843538,-0.033664726
Belarus,25.375,81.66848406,5.539899826,9.779945374,0.90674746,66.10433197,0.6391630770000001,0.63571167,-0.164926544
Belgium,27.56666667,81.71533795,6.863500117999999,10.673639300000001,0.911632538,72.00164795,0.813582063,0.612297952,-0.078691199
Benin,47.8,93.76548765,5.21600008,7.674319744,0.46867114299999996,54.31246567,0.735182583,0.7405325770000001,-0.003537213
Bolivia,44.375,74.50848665,5.747499942999999,8.851115227000001,0.803108692,63.6004715,0.875873327,0.8226062059999999,-0.09168113
Botswana,53.3,84.3867073,3.4788999560000002,9.711203575,0.7791217570000001,58.92445374,0.8213281040000001,0.777930915,-0.250394493
Brazil,53.1,72.19560214,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,0.7706012729999999,-0.10181239199999999
Bulgaria,39.86666667,80.05067563,5.101500034,9.869318962000001,0.937840343,66.80397797,0.745178163,0.9355851409999999,-0.143908441
Canada,33.3,87.08441673,7.23210001,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.390843362,0.124770768
Chile,44.4,68.72030844,6.228499889,10.0320549,0.879713595,69.90061951,0.7448962929999999,0.838239431,-0.065668367
China,38.55,80.86003045,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,0.7539710999999999,-0.18142575
Colombia,50.5,71.09788035,6.163400172999999,9.500369072,0.884440243,67.69958496,0.8361799120000001,0.86457181,-0.161235645
Costa Rica,48.35,62.27379107,7.121399879,9.658156395,0.901545942,71.29985046,0.9347389340000001,0.7863324279999999,-0.10242971
Croatia,30.8,78.47195797,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,0.916495264,-0.128538325
Cyprus,32.76666667,84.95353652,6.15899992,10.40570259,0.8059962390000001,73.70222473,0.7798582909999999,0.8562717440000001,0.043731495999999995
Czech Republic,25.4,76.37782972,6.9109001160000005,10.40416336,0.914430678,70.04793549,0.818537354,0.85844624,-0.230861515
